common name,red list status
french white and orange hound,not endangered
kai,not endangered
shikoku,not endangered
wirehaired slovakian pointer,not endangered
majorca shepherd dog,not endangered
great anglo-french white and black hound,not endangered
great anglo-french white & orange hound,not endangered
medium-sized anglo-french hound,not endangered
south russian shepherd dog,not endangered
russian black terrier,not endangered
caucasian shepherd dog,not endangered
canarian warren hound,not endangered
scottish deerhound,endangered
kangal shepherd dog,not endangered
czechoslovakian wolfdog,not endangered
polish greyhound,not endangered
korea jindo dog,not endangered
central asian shepherd dog,not endangered
spanish water dog,not endangered
thai ridgeback dog,not endangered
parson russell terrier,not endangered
saint miguel cattle dog,not endangered
brazilian terrier,not endangered
australian shepherd,not endangered
italian cane corso,not endangered
american akita,not endangered
jack russell terrier,not endangered
presa canario,not endangered
white swiss shepherd dog,not endangered
taiwan dog,not endangered
romanian mioritic shepherd dog,not endangered
romanian carpathian shepherd dog,not endangered
australian stumpy tail cattle dog,not endangered
russian toy,not endangered
cimarrón uruguayo,not endangered
polish hunting dog,not endangered
bosnian and herzegovinian - croatian shepherd dog,not endangered
danish-swedish farmdog,not endangered
romanian bucovina shepherd,not endangered
thai bangkaew dog,not endangered
miniature bull terrier,not endangered
lancashire heeler,endangered
segugio maremmano,not endangered
kintamani-bali dog,not endangered
prague ratter,not endangered
bohemian shepherd dog,not endangered
yakutian laika,not endangered
estonian hound,not endangered
miniature american shepherd,not endangered
transmontano mastiff,not endangered
continental bulldog,not endangered
valencian terrier,not endangered
old danish pointing dog,not endangered
grand griffon vendeen,not endangered
coton de tulear,not endangered
lapponian herder,not endangered
spanish greyhound,not endangered
american staffordshire terrier,not endangered
australian cattle dog,not endangered
chinese crested dog,not endangered
icelandic sheepdog,not endangered
beagle harrier,endangered
irish wolfhound,endangered
australian kelpie,not endangered
otterhound,endangered
harrier,not endangered
collie smooth,not endangered
border collie,not endangered
romagna water dog,not endangered
german hound,not endangered
black and tan coonhound,not endangered
american water spaniel,not endangered
irish glen of imaal terrier,endangered
american foxhound,not endangered
russian-european laika,not endangered
east siberian laika,not endangered
west siberian laika,not endangered
dutch schapendoes,endangered
shar pei,not endangered
saarloos wolfhond,not endangered
nova scotia duck tolling retriever,not endangered
dutch schapendoes,not endangered
nederlandse kooikerhondje,not endangered
broholmer,not endangered
english pointer,not endangered
english setter,endangered
kerry blue terrier,not endangered
cairn terrier,not endangered
english cocker spaniel,not endangered
gordon setter,not endangered
airedale terrier,not endangered
australian terrier,not endangered
border terrier,not endangered
bull terrier,not endangered
fox terrier (smooth),not endangered
english toy terrier (black &tan),
swedish vallhund,not endangered
belgian shepherd dog,not endangered
old english sheepdog,endangered
griffon nivernais,not endangered
gascon saintongeois,endangered
great gascony blue,not endangered
poitevin,endangered
billy,not endangered
artois hound,endangered
porcelaine,not endangered
small blue gascony,not endangered
blue gascony griffon,not endangered
grand basset griffon vendeen,endangered
norman artesien basset,not endangered
blue gascony basset,not endangered
basset fauve de bretagne,not endangered
portuguese water dog,not endangered
welsh corgi (cardigan),not endangered
welsh corgi (pembroke),endangered
irish soft coated wheaten terrier,not endangered
yugoslavian shepherd dog ,not endangered
jämthund,not endangered
basenji,not endangered
berger de beauce,not endangered
bernese mountain dog,not endangered
appenzell cattle dog,not endangered
entlebuch cattle dog,not endangered
karelian bear dog,not endangered
newfoundland,not endangered
finnish hound,not endangered
polish hound,not endangered
komondor,not endangered
kuvasz,not endangered
puli,not endangered
pumi,not endangered
hungarian short-haired pointer (vizsla),not endangered
great swiss mountain dog,not endangered
swiss hound,not endangered
austrian pinscher,endangered
st. bernard,not endangered
coarse-haired styrian hound,not endangered
austrian black and tan hound,not endangered
austrian pinscher,endangered
